year,category,tariff_rate,coverage_ratio,trade_value_millions,trade_reduction_pct,key_event,year_fraction
2025,医疗设备,15.6,0.78,752.4,1.4,,0.25
2017,能源产品,4.5,0.0,7542.2,0.0,,1.0
2018,能源产品,10.1,0.55,6985.7,3.3,对美600亿美元商品加征5-10%关税,1.0
2019,能源产品,9.6,0.6,7441.0,3.1,豁免部分大豆、猪肉等农产品关税,1.0
2020,能源产品,10.5,0.68,6137.4,1.7,大幅增加美国农产品进口,1.0
2021,能源产品,9.3,0.72,7401.5,1.4,,1.0
2022,能源产品,9.8,0.72,7245.8,1.3,中美贸易保持韧性但结构调整,1.0
2023,能源产品,9.6,0.73,7705.8,2.1,,1.0
2024,能源产品,14.9,0.79,7056.5,2.8,新一轮对美反制措施,1.0
2025,能源产品,14.2,0.81,1804.4,2.8,,0.25
2017,农产品其他,4.2,0.0,4902.8,0.0,,1.0
2018,农产品其他,9.3,0.57,4721.8,3.7,对美水果、猪肉等产品加征关税,1.0
2019,农产品其他,9.6,0.57,4667.3,3.4,对美反制措施升级,1.0
2020,农产品其他,9.8,0.67,3942.6,3.7,中美第一阶段协议签署,1.0
2021,农产品其他,9.3,0.65,5054.7,3.0,,1.0
2022,农产品其他,10.6,0.74,4779.6,3.3,,1.0
2023,农产品其他,10.7,0.72,4731.2,2.7,,1.0
2024,农产品其他,15.5,0.83,4926.8,3.6,新一轮对美反制措施,1.0
2025,农产品其他,15.5,0.81,1196.7,3.5,,0.25
