year,category,export_value_millions,import_value_millions,trade_balance_millions,export_share,import_share,event,year_fraction
2021,家具和寝具,312.8,8706.1,-8393.3,0.002,0.015,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,玩具和体育用品,334.2,7377.3,-7043.0,0.002,0.013,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,塑料和橡胶制品,1460.7,5531.4,-4070.7,0.009,0.01,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,车辆及零部件,2420.5,79724.7,-77304.2,0.016,0.139,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,钢铁制品,673.5,2206.0,-1532.6,0.004,0.004,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,服装和纺织品,288.4,26859.6,-26571.1,0.002,0.047,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,化学品,10134.0,4652.5,5481.5,0.065,0.008,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,农产品,56698.1,1165.1,55533.0,0.363,0.002,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,航空器,11172.4,575.0,10597.4,0.072,0.001,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,医疗设备,2626.2,2392.6,233.6,0.017,0.004,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,能源产品,2051.7,1192.1,859.6,0.013,0.002,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2021,其他商品,956.8,3683.7,-2726.9,0.006,0.006,拜登政府继续特朗普时期关税政策，供应链重组,1.0
2022,电子产品,6417.3,133726.3,-127309.0,0.047,0.248,美国加强对华芯片出口限制,1.0
2022,机械设备,11011.8,65445.1,-54433.3,0.081,0.121,美国加强对华芯片出口限制,1.0
2022,家具和寝具,281.9,8058.0,-7776.1,0.002,0.015,美国加强对华芯片出口限制,1.0
2022,玩具和体育用品,258.8,6856.1,-6597.3,0.002,0.013,美国加强对华芯片出口限制,1.0
2022,塑料和橡胶制品,1463.5,5886.1,-4422.6,0.011,0.011,美国加强对华芯片出口限制,1.0
2022,车辆及零部件,2300.8,65289.7,-62988.9,0.017,0.121,美国加强对华芯片出口限制,1.0
2022,钢铁制品,525.5,2187.8,-1662.3,0.004,0.004,美国加强对华芯片出口限制,1.0
2022,服装和纺织品,248.3,17706.8,-17458.5,0.002,0.033,美国加强对华芯片出口限制,1.0
2022,化学品,7166.8,4283.4,2883.4,0.053,0.008,美国加强对华芯片出口限制,1.0
2022,农产品,50505.2,1023.5,49481.7,0.37,0.002,美国加强对华芯片出口限制,1.0
2022,航空器,9471.9,540.0,8931.9,0.069,0.001,美国加强对华芯片出口限制,1.0
2022,医疗设备,1484.6,2026.6,-542.1,0.011,0.004,美国加强对华芯片出口限制,1.0
2022,能源产品,1592.3,1075.5,516.8,0.012,0.002,美国加强对华芯片出口限制,1.0
2022,其他商品,828.8,3449.6,-2620.8,0.006,0.006,美国加强对华芯片出口限制,1.0
2023,电子产品,4361.7,137459.0,-133097.3,0.033,0.262,供应链持续调整，部分生产转移至越南等国家,1.0
2023,机械设备,9853.3,60123.8,-50270.4,0.074,0.115,供应链持续调整，部分生产转移至越南等国家,1.0
2023,家具和寝具,261.4,7169.1,-6907.7,0.002,0.014,供应链持续调整，部分生产转移至越南等国家,1.0
2023,玩具和体育用品,240.8,6922.5,-6681.7,0.002,0.013,供应链持续调整，部分生产转移至越南等国家,1.0
2023,塑料和橡胶制品,1284.2,4791.6,-3507.4,0.01,0.009,供应链持续调整，部分生产转移至越南等国家,1.0
2023,车辆及零部件,2211.8,70744.1,-68532.3,0.017,0.135,供应链持续调整，部分生产转移至越南等国家,1.0
2023,钢铁制品,520.0,1958.4,-1438.5,0.004,0.004,供应链持续调整，部分生产转移至越南等国家,1.0
2023,服装和纺织品,290.9,12043.7,-11752.8,0.002,0.023,供应链持续调整，部分生产转移至越南等国家,1.0
2023,化学品,4918.7,3927.3,991.5,0.037,0.007,供应链持续调整，部分生产转移至越南等国家,1.0
2023,农产品,11903.3,1143.3,10760.0,0.09,0.002,供应链持续调整，部分生产转移至越南等国家,1.0
2023,航空器,9050.8,525.0,8525.8,0.068,0.001,供应链持续调整，部分生产转移至越南等国家,1.0
2023,医疗设备,1231.7,1965.7,-734.1,0.009,0.004,供应链持续调整，部分生产转移至越南等国家,1.0
2023,能源产品,1628.9,1081.9,547.0,0.012,0.002,供应链持续调整，部分生产转移至越南等国家,1.0
2023,其他商品,793.0,3355.8,-2562.7,0.006,0.006,供应链持续调整，部分生产转移至越南等国家,1.0
2024,电子产品,3191.5,135480.2,-132288.7,0.025,0.274,美国对华发起新一轮关税措施,1.0
2024,机械设备,6436.2,45971.5,-39535.3,0.051,0.093,美国对华发起新一轮关税措施,1.0
2024,家具和寝具,269.0,6598.0,-6329.0,0.002,0.013,美国对华发起新一轮关税措施,1.0
2024,玩具和体育用品,237.9,6442.2,-6204.3,0.002,0.013,美国对华发起新一轮关税措施,1.0
2024,塑料和橡胶制品,1205.3,4860.9,-3655.6,0.01,0.01,美国对华发起新一轮关税措施,1.0
2024,车辆及零部件,1833.6,61174.0,-59340.3,0.015,0.124,美国对华发起新一轮关税措施,1.0
2024,钢铁制品,464.3,2080.7,-1616.4,0.004,0.004,美国对华发起新一轮关税措施,1.0
2024,服装和纺织品,246.7,11859.5,-11612.8,0.002,0.024,美国对华发起新一轮关税措施,1.0
2024,化学品,3484.7,4125.9,-641.2,0.028,0.008,美国对华发起新一轮关税措施,1.0
2024,农产品,8984.2,991.2,7993.0,0.071,0.002,美国对华发起新一轮关税措施,1.0
2024,航空器,10072.9,495.0,9577.9,0.08,0.001,美国对华发起新一轮关税措施,1.0
2024,医疗设备,1200.1,2106.0,-905.8,0.01,0.004,美国对华发起新一轮关税措施,1.0
2024,能源产品,1531.6,919.0,612.7,0.012,0.002,美国对华发起新一轮关税措施,1.0
2024,其他商品,822.5,2999.1,-2176.5,0.007,0.006,美国对华发起新一轮关税措施,1.0
2025,电子产品,807.0,28688.8,-27881.8,0.025,0.234,中美关系进入新阶段,0.25
2025,机械设备,1402.9,8684.3,-7281.4,0.044,0.071,中美关系进入新阶段,0.25
2025,家具和寝具,66.3,1817.9,-1751.7,0.002,0.015,中美关系进入新阶段,0.25
2025,玩具和体育用品,62.6,1578.3,-1515.7,0.002,0.013,中美关系进入新阶段,0.25
2025,塑料和橡胶制品,334.5,1222.1,-887.6,0.011,0.01,中美关系进入新阶段,0.25
2025,车辆及零部件,468.9,15524.5,-15055.6,0.015,0.127,中美关系进入新阶段,0.25
2025,钢铁制品,127.1,465.9,-338.7,0.004,0.004,中美关系进入新阶段,0.25
2025,服装和纺织品,65.4,2740.0,-2674.6,0.002,0.022,中美关系进入新阶段,0.25
2025,化学品,675.9,993.6,-317.7,0.021,0.008,中美关系进入新阶段,0.25
2025,农产品,1902.4,268.9,1633.4,0.06,0.002,中美关系进入新阶段,0.25
2025,航空器,2439.1,122.5,2316.6,0.077,0.001,中美关系进入新阶段,0.25
2025,医疗设备,348.2,519.6,-171.4,0.011,0.004,中美关系进入新阶段,0.25
2025,能源产品,344.1,256.3,87.8,0.011,0.002,中美关系进入新阶段,0.25
2025,其他商品,181.2,744.1,-563.0,0.006,0.006,中美关系进入新阶段,0.25
