round,hs_code,product_description,category,implementation_date,mfn_tariff_rate,additional_tariff_rate,total_tariff_rate,annual_import_value_millions,note
2,03267248,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号267248,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,6.7,25,31.7,148.39,
2,03631328,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号631328,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,9.5,25,34.5,115.11,
2,03369193,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号369193,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,5.6,25,30.6,119.1,
2,03183224,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号183224,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,5.9,25,30.9,141.01,
2,03917399,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号917399,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,5.8,25,30.8,96.51,
2,12555310,美国产葵花籽，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,7.6,25,32.6,196.13,
2,12922767,美国产葵花籽，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,6.1,25,31.1,5.52,
2,87032070,美国产货车，排量为3644cc,车辆及其零件、附件,2018-07-06,4.6,25,29.6,17.88,
2,12741374,美国产花生，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,6.6,25,31.6,87.48,
2,87104718,美国产乘用车，功率为3657cc,车辆及其零件、附件,2018-07-06,6.0,25,31.0,182.7,
2,87495946,美国产货车，排量为4129cc,车辆及其零件、附件,2018-07-06,7.3,25,32.3,195.41,
2,03902845,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号902845,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,3.7,25,28.7,59.13,
2,03792241,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号792241,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,9.7,25,34.7,100.26,
2,12632010,美国产亚麻籽，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,7.3,25,32.3,62.21,
2,12160632,美国产大豆，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,6.9,25,31.9,41.52,
2,12699978,美国产亚麻籽，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,4.0,25,29.0,27.69,
2,03573200,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号573200,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,5.1,25,30.1,178.13,
2,12506530,美国产大豆，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,4.2,25,29.2,117.06,
2,87564270,美国产越野车，排量为4343cc,车辆及其零件、附件,2018-07-06,5.4,25,30.4,46.65,
2,87094776,美国产乘用车，功率为1409cc,车辆及其零件、附件,2018-07-06,5.4,25,30.4,162.99,
2,12951089,美国产大豆，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,6.9,25,31.9,184.33,
2,12337622,美国产大豆，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,8.3,25,33.3,191.5,
2,03219644,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号219644,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,3.6,25,28.6,67.76,
2,03623940,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号623940,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,4.4,25,29.4,190.41,
2,87896034,美国产货车，功率为2343cc,车辆及其零件、附件,2018-07-06,3.1,25,28.1,110.3,
2,87554880,美国产货车，排量为3535cc,车辆及其零件、附件,2018-07-06,6.1,25,31.1,148.27,
2,03144127,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号144127,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,3.8,25,28.8,47.87,
2,87118162,美国产货车，排量为2895cc,车辆及其零件、附件,2018-07-06,8.4,25,33.4,63.43,
2,03443767,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号443767,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,7.9,25,32.9,28.77,
2,03989998,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号989998,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,4.8,25,29.8,20.45,
2,87749734,美国产乘用车，功率为2701cc,车辆及其零件、附件,2018-07-06,8.5,25,33.5,90.99,
2,12087135,美国产亚麻籽，用于饲料,油籽、子仁、工业用或药用植物、饲料,2018-07-06,3.8,25,28.8,194.05,
2,03413350,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号413350,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.1,25,27.1,161.46,
2,87779845,美国产货车，功率为2773cc,车辆及其零件、附件,2018-07-06,8.4,25,33.4,130.06,
2,03531775,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号531775,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.8,25,27.8,39.37,
2,03848719,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号848719,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.9,25,27.9,176.66,
2,87216830,美国产乘用车，排量为4049cc,车辆及其零件、附件,2018-07-06,9.5,25,34.5,71.72,
2,12286088,美国产亚麻籽，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,7.8,25,32.8,52.02,
2,12856738,美国产大豆，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,4.5,25,29.5,90.74,
2,87690424,美国产货车，功率为2437cc,车辆及其零件、附件,2018-07-06,8.3,25,33.3,26.7,
2,12049771,美国产花生，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,9.6,25,34.6,78.05,
2,87957906,美国产货车，功率为3234cc,车辆及其零件、附件,2018-07-06,2.8,25,27.8,193.83,
2,03238971,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号238971,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,2.6,25,27.6,54.3,
2,12338780,美国产亚麻籽，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,9.8,25,34.8,101.55,
2,87304474,美国产乘用车，功率为3960cc,车辆及其零件、附件,2018-07-06,9.8,25,34.8,46.08,
2,03822804,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号822804,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,3.8,25,28.8,48.21,
2,03770973,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号770973,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,8.2,25,33.2,109.6,
2,03602739,美国产鱼、甲壳动物、软体动物及其他水生无脊椎动物产品，规格型号602739,鱼、甲壳动物、软体动物及其他水生无脊椎动物,2018-07-06,6.4,25,31.4,12.69,
2,87868422,美国产乘用车，排量为3988cc,车辆及其零件、附件,2018-07-06,7.0,25,32.0,63.91,
2,12905056,美国产亚麻籽，用于食品加工,油籽、子仁、工业用或药用植物、饲料,2018-07-06,4.0,25,29.0,118.64,
2,12445505,美国产葵花籽，用于压榨油,油籽、子仁、工业用或药用植物、饲料,2018-07-06,6.4,25,31.4,31.67,
