round,hs_code,product_description,category,implementation_date,initial_tariff_rate,current_tariff_rate,annual_trade_value_millions,tariff_escalation_date
1,8896979162,航空器、航天器及其零件相关产品，规格型号96979162,航空器、航天器及其零件,2018-07-06,25,25,63.41,
1,8787852650,乘用车，排量为4093单位,车辆及其零件、附件,2018-07-06,25,25,4.57,
1,8768851031,拖拉机，功率为3596单位,车辆及其零件、附件,2018-07-06,25,25,77.84,
1,8734815917,摩托车，排量为4291单位,车辆及其零件、附件,2018-07-06,25,25,19.46,
1,8486469721,工业用器具，功率不超过673单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,88.19,
1,8807550970,航空器、航天器及其零件相关产品，规格型号07550970,航空器、航天器及其零件,2018-07-06,25,25,42.97,
1,8478236493,农业用机械，功率不超过999单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,11.35,
1,8700319116,乘用车，功率为4490单位,车辆及其零件、附件,2018-07-06,25,25,33.48,
1,9036232773,光学、照相、医疗等设备及零件相关产品，规格型号36232773,光学、照相、医疗等设备及零件,2018-07-06,25,25,72.99,
1,8502194848,电子设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,39.77,
1,8895800813,航空器、航天器及其零件相关产品，规格型号95800813,航空器、航天器及其零件,2018-07-06,25,25,51.38,
1,8773642882,乘用车，排量为4879单位,车辆及其零件、附件,2018-07-06,25,25,63.5,
1,9056034730,光学、照相、医疗等设备及零件相关产品，规格型号56034730,光学、照相、医疗等设备及零件,2018-07-06,25,25,19.87,
1,8880836368,航空器、航天器及其零件相关产品，规格型号80836368,航空器、航天器及其零件,2018-07-06,25,25,81.92,
1,8865055717,航空器、航天器及其零件相关产品，规格型号65055717,航空器、航天器及其零件,2018-07-06,25,25,36.45,
1,8893776452,航空器、航天器及其零件相关产品，规格型号93776452,航空器、航天器及其零件,2018-07-06,25,25,92.23,
1,9019962542,光学、照相、医疗等设备及零件相关产品，规格型号19962542,光学、照相、医疗等设备及零件,2018-07-06,25,25,75.98,
1,9003813109,光学、照相、医疗等设备及零件相关产品，规格型号03813109,光学、照相、医疗等设备及零件,2018-07-06,25,25,44.22,
1,8710284538,卡车，功率为1049单位,车辆及其零件、附件,2018-07-06,25,25,6.89,
1,8585405539,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,10.6,
1,8426453944,工业用器具，功率不超过623单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,33.7,
1,8828885866,航空器、航天器及其零件相关产品，规格型号28885866,航空器、航天器及其零件,2018-07-06,25,25,52.88,
1,8819921707,航空器、航天器及其零件相关产品，规格型号19921707,航空器、航天器及其零件,2018-07-06,25,25,66.05,
1,8561530689,通信设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,79.37,
1,8756485314,乘用车，功率为2114单位,车辆及其零件、附件,2018-07-06,25,25,61.49,
1,9083586087,光学、照相、医疗等设备及零件相关产品，规格型号83586087,光学、照相、医疗等设备及零件,2018-07-06,25,25,77.12,
1,8518871323,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,64.04,
1,8760222278,拖拉机，功率为78单位,车辆及其零件、附件,2018-07-06,25,25,44.8,
1,8427196612,农业用设备，重量不超过167单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,48.69,
1,8777257132,拖拉机，功率为3032单位,车辆及其零件、附件,2018-07-06,25,25,64.92,
1,8530220233,电子设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,17.55,
1,8795861191,拖拉机，功率为2355单位,车辆及其零件、附件,2018-07-06,25,25,15.37,
1,8522442766,通信设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,87.03,
1,8413145597,工业用器具，功率不超过372单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,2.19,
1,8798598216,摩托车，排量为3310单位,车辆及其零件、附件,2018-07-06,25,25,11.75,
1,8863442093,航空器、航天器及其零件相关产品，规格型号63442093,航空器、航天器及其零件,2018-07-06,25,25,87.95,
1,8896975037,航空器、航天器及其零件相关产品，规格型号96975037,航空器、航天器及其零件,2018-07-06,25,25,96.47,
1,8884772277,航空器、航天器及其零件相关产品，规格型号84772277,航空器、航天器及其零件,2018-07-06,25,25,42.0,
1,8890417147,航空器、航天器及其零件相关产品，规格型号90417147,航空器、航天器及其零件,2018-07-06,25,25,27.14,
1,8425635164,商用用设备，功率不超过912单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,46.87,
1,8461786873,农业用机械，尺寸不超过655单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,53.3,
1,8450179353,农业用设备，功率不超过33单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,17.32,
1,8883874112,航空器、航天器及其零件相关产品，规格型号83874112,航空器、航天器及其零件,2018-07-06,25,25,83.04,
1,8843574931,航空器、航天器及其零件相关产品，规格型号43574931,航空器、航天器及其零件,2018-07-06,25,25,45.99,
1,8832212023,航空器、航天器及其零件相关产品，规格型号32212023,航空器、航天器及其零件,2018-07-06,25,25,49.58,
1,9003392869,光学、照相、医疗等设备及零件相关产品，规格型号03392869,光学、照相、医疗等设备及零件,2018-07-06,25,25,43.72,
1,8496935757,工业用器具，功率不超过711单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,27.98,
1,9035331237,光学、照相、医疗等设备及零件相关产品，规格型号35331237,光学、照相、医疗等设备及零件,2018-07-06,25,25,10.0,
1,8575869446,通信设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,14.27,
1,9031845078,光学、照相、医疗等设备及零件相关产品，规格型号31845078,光学、照相、医疗等设备及零件,2018-07-06,25,25,88.66,
1,8861981092,航空器、航天器及其零件相关产品，规格型号61981092,航空器、航天器及其零件,2018-07-06,25,25,0.57,
1,9084042529,光学、照相、医疗等设备及零件相关产品，规格型号84042529,光学、照相、医疗等设备及零件,2018-07-06,25,25,93.72,
1,9005373955,光学、照相、医疗等设备及零件相关产品，规格型号05373955,光学、照相、医疗等设备及零件,2018-07-06,25,25,50.44,
1,8750449278,摩托车，功率为970单位,车辆及其零件、附件,2018-07-06,25,25,67.6,
1,8545144152,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,35.14,
1,8745120583,乘用车，功率为3089单位,车辆及其零件、附件,2018-07-06,25,25,89.59,
1,9088977251,光学、照相、医疗等设备及零件相关产品，规格型号88977251,光学、照相、医疗等设备及零件,2018-07-06,25,25,66.72,
1,9053024374,光学、照相、医疗等设备及零件相关产品，规格型号53024374,光学、照相、医疗等设备及零件,2018-07-06,25,25,28.16,
1,9090850700,光学、照相、医疗等设备及零件相关产品，规格型号90850700,光学、照相、医疗等设备及零件,2018-07-06,25,25,18.53,
1,8889957003,航空器、航天器及其零件相关产品，规格型号89957003,航空器、航天器及其零件,2018-07-06,25,25,7.66,
1,8780993264,拖拉机，排量为274单位,车辆及其零件、附件,2018-07-06,25,25,38.32,
1,8819959888,航空器、航天器及其零件相关产品，规格型号19959888,航空器、航天器及其零件,2018-07-06,25,25,77.01,
1,8774548667,卡车，排量为773单位,车辆及其零件、附件,2018-07-06,25,25,30.48,
1,8437414918,农业用机械，重量不超过917单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,52.02,
1,8400913892,商用用设备，尺寸不超过996单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,74.16,
1,8849590077,航空器、航天器及其零件相关产品，规格型号49590077,航空器、航天器及其零件,2018-07-06,25,25,27.59,
1,8710152909,卡车，功率为2807单位,车辆及其零件、附件,2018-07-06,25,25,53.05,
1,8862824645,航空器、航天器及其零件相关产品，规格型号62824645,航空器、航天器及其零件,2018-07-06,25,25,90.75,
1,9027813716,光学、照相、医疗等设备及零件相关产品，规格型号27813716,光学、照相、医疗等设备及零件,2018-07-06,25,25,44.85,
1,9020878364,光学、照相、医疗等设备及零件相关产品，规格型号20878364,光学、照相、医疗等设备及零件,2018-07-06,25,25,74.3,
1,8529468320,电气设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,8.11,
1,8858895605,航空器、航天器及其零件相关产品，规格型号58895605,航空器、航天器及其零件,2018-07-06,25,25,18.83,
1,8465823034,农业用设备，功率不超过91单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,14.42,
1,8558411658,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,28.57,
1,9018018334,光学、照相、医疗等设备及零件相关产品，规格型号18018334,光学、照相、医疗等设备及零件,2018-07-06,25,25,84.66,
1,9092918898,光学、照相、医疗等设备及零件相关产品，规格型号92918898,光学、照相、医疗等设备及零件,2018-07-06,25,25,95.72,
1,8437606805,商用用器具，重量不超过572单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,17.75,
1,9018730708,光学、照相、医疗等设备及零件相关产品，规格型号18730708,光学、照相、医疗等设备及零件,2018-07-06,25,25,61.07,
1,8535539842,电子设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,58.66,
1,9007051729,光学、照相、医疗等设备及零件相关产品，规格型号07051729,光学、照相、医疗等设备及零件,2018-07-06,25,25,52.2,
1,9084746726,光学、照相、医疗等设备及零件相关产品，规格型号84746726,光学、照相、医疗等设备及零件,2018-07-06,25,25,90.06,
1,8593548999,通信设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,58.23,
1,8821368738,航空器、航天器及其零件相关产品，规格型号21368738,航空器、航天器及其零件,2018-07-06,25,25,7.25,
1,9094833447,光学、照相、医疗等设备及零件相关产品，规格型号94833447,光学、照相、医疗等设备及零件,2018-07-06,25,25,24.54,
1,8830045320,航空器、航天器及其零件相关产品，规格型号30045320,航空器、航天器及其零件,2018-07-06,25,25,31.25,
1,8576511858,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,99.46,
1,8725044564,乘用车，排量为1669单位,车辆及其零件、附件,2018-07-06,25,25,96.29,
1,8455961009,工业用器具，尺寸不超过306单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,75.66,
1,8522859971,电子设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,57.99,
1,8772143829,拖拉机，功率为1499单位,车辆及其零件、附件,2018-07-06,25,25,43.61,
1,8844499916,航空器、航天器及其零件相关产品，规格型号44499916,航空器、航天器及其零件,2018-07-06,25,25,78.62,
1,8424692278,农业用设备，重量不超过222单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,38.98,
1,9053413973,光学、照相、医疗等设备及零件相关产品，规格型号53413973,光学、照相、医疗等设备及零件,2018-07-06,25,25,43.59,
1,8428191819,农业用器具，尺寸不超过382单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,45.59,
1,8767085627,拖拉机，功率为1493单位,车辆及其零件、附件,2018-07-06,25,25,76.07,
1,9028169340,光学、照相、医疗等设备及零件相关产品，规格型号28169340,光学、照相、医疗等设备及零件,2018-07-06,25,25,43.12,
1,8803796534,航空器、航天器及其零件相关产品，规格型号03796534,航空器、航天器及其零件,2018-07-06,25,25,0.38,
1,9017745134,光学、照相、医疗等设备及零件相关产品，规格型号17745134,光学、照相、医疗等设备及零件,2018-07-06,25,25,7.12,
1,8545722182,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,56.98,
1,8480280543,农业用设备，功率不超过840单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,47.31,
1,8490594788,商用用设备，重量不超过359单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,45.57,
1,8744499428,卡车，功率为2259单位,车辆及其零件、附件,2018-07-06,25,25,65.88,
1,8475980235,工业用机械，尺寸不超过490单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,55.51,
1,8470202532,工业用设备，重量不超过287单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,12.36,
1,8818471095,航空器、航天器及其零件相关产品，规格型号18471095,航空器、航天器及其零件,2018-07-06,25,25,56.48,
1,8868454824,航空器、航天器及其零件相关产品，规格型号68454824,航空器、航天器及其零件,2018-07-06,25,25,94.2,
1,8510913321,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,69.81,
1,8768027907,摩托车，功率为4455单位,车辆及其零件、附件,2018-07-06,25,25,35.44,
1,9031137496,光学、照相、医疗等设备及零件相关产品，规格型号31137496,光学、照相、医疗等设备及零件,2018-07-06,25,25,6.19,
1,8533792980,通信设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,23.73,
1,8750968583,乘用车，功率为3099单位,车辆及其零件、附件,2018-07-06,25,25,57.96,
1,8735853797,乘用车，排量为3995单位,车辆及其零件、附件,2018-07-06,25,25,62.1,
1,8814529015,航空器、航天器及其零件相关产品，规格型号14529015,航空器、航天器及其零件,2018-07-06,25,25,42.84,
1,8805810571,航空器、航天器及其零件相关产品，规格型号05810571,航空器、航天器及其零件,2018-07-06,25,25,26.45,
1,9034105480,光学、照相、医疗等设备及零件相关产品，规格型号34105480,光学、照相、医疗等设备及零件,2018-07-06,25,25,5.56,
1,8728789349,乘用车，排量为4821单位,车辆及其零件、附件,2018-07-06,25,25,34.37,
1,9099771898,光学、照相、医疗等设备及零件相关产品，规格型号99771898,光学、照相、医疗等设备及零件,2018-07-06,25,25,57.71,
1,8753817395,拖拉机，功率为2178单位,车辆及其零件、附件,2018-07-06,25,25,94.67,
1,8715778843,乘用车，功率为4163单位,车辆及其零件、附件,2018-07-06,25,25,18.33,
1,8567679522,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,98.31,
1,8537129239,电气设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,70.75,
1,8524162403,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,22.03,
1,8574393805,电气设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,99.24,
1,8468285030,工业用机械，功率不超过306单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,52.94,
1,8586034958,通信设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,67.21,
1,8806508880,航空器、航天器及其零件相关产品，规格型号06508880,航空器、航天器及其零件,2018-07-06,25,25,86.58,
1,8833774996,航空器、航天器及其零件相关产品，规格型号33774996,航空器、航天器及其零件,2018-07-06,25,25,66.55,
1,8404260500,工业用机械，功率不超过314单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,23.02,
1,8895613412,航空器、航天器及其零件相关产品，规格型号95613412,航空器、航天器及其零件,2018-07-06,25,25,10.69,
1,8791931734,摩托车，排量为275单位,车辆及其零件、附件,2018-07-06,25,25,99.99,
1,9014711494,光学、照相、医疗等设备及零件相关产品，规格型号14711494,光学、照相、医疗等设备及零件,2018-07-06,25,25,83.74,
1,9035191238,光学、照相、医疗等设备及零件相关产品，规格型号35191238,光学、照相、医疗等设备及零件,2018-07-06,25,25,74.5,
1,8545684485,通信设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,69.95,
1,8421065901,工业用机械，功率不超过751单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,21.08,
1,8451535490,商用用器具，重量不超过289单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,89.04,
1,8787790577,拖拉机，排量为957单位,车辆及其零件、附件,2018-07-06,25,25,3.22,
1,9057249234,光学、照相、医疗等设备及零件相关产品，规格型号57249234,光学、照相、医疗等设备及零件,2018-07-06,25,25,2.19,
1,8727848053,拖拉机，排量为518单位,车辆及其零件、附件,2018-07-06,25,25,51.59,
1,8426746549,工业用机械，功率不超过933单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,34.79,
1,8864925382,航空器、航天器及其零件相关产品，规格型号64925382,航空器、航天器及其零件,2018-07-06,25,25,56.75,
1,9096785736,光学、照相、医疗等设备及零件相关产品，规格型号96785736,光学、照相、医疗等设备及零件,2018-07-06,25,25,50.16,
1,8808516325,航空器、航天器及其零件相关产品，规格型号08516325,航空器、航天器及其零件,2018-07-06,25,25,83.21,
1,8834145515,航空器、航天器及其零件相关产品，规格型号34145515,航空器、航天器及其零件,2018-07-06,25,25,51.04,
1,8555173066,通信设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,96.2,
1,8703924400,摩托车，功率为1982单位,车辆及其零件、附件,2018-07-06,25,25,97.9,
1,8870184579,航空器、航天器及其零件相关产品，规格型号70184579,航空器、航天器及其零件,2018-07-06,25,25,75.82,
1,8844810317,航空器、航天器及其零件相关产品，规格型号44810317,航空器、航天器及其零件,2018-07-06,25,25,92.57,
1,9092012921,光学、照相、医疗等设备及零件相关产品，规格型号92012921,光学、照相、医疗等设备及零件,2018-07-06,25,25,21.88,
1,8858305483,航空器、航天器及其零件相关产品，规格型号58305483,航空器、航天器及其零件,2018-07-06,25,25,23.18,
1,8436012503,工业用机械，功率不超过623单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,66.29,
1,9076737988,光学、照相、医疗等设备及零件相关产品，规格型号76737988,光学、照相、医疗等设备及零件,2018-07-06,25,25,31.58,
1,9021035466,光学、照相、医疗等设备及零件相关产品，规格型号21035466,光学、照相、医疗等设备及零件,2018-07-06,25,25,15.04,
1,8502580865,电子设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,38.9,
1,8710027769,卡车，排量为1513单位,车辆及其零件、附件,2018-07-06,25,25,9.22,
1,8848855446,航空器、航天器及其零件相关产品，规格型号48855446,航空器、航天器及其零件,2018-07-06,25,25,19.12,
1,8536360576,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,6.36,
1,8458773115,农业用机械，重量不超过835单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,87.55,
1,8749301702,拖拉机，功率为3362单位,车辆及其零件、附件,2018-07-06,25,25,93.31,
1,8552922232,电子设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,17.4,
1,8472050792,农业用器具，功率不超过814单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,76.2,
1,8763497930,乘用车，排量为2628单位,车辆及其零件、附件,2018-07-06,25,25,84.24,
1,8715173774,拖拉机，排量为783单位,车辆及其零件、附件,2018-07-06,25,25,63.54,
1,8807171976,航空器、航天器及其零件相关产品，规格型号07171976,航空器、航天器及其零件,2018-07-06,25,25,22.47,
1,9037247735,光学、照相、医疗等设备及零件相关产品，规格型号37247735,光学、照相、医疗等设备及零件,2018-07-06,25,25,46.32,
1,8755513062,卡车，排量为2869单位,车辆及其零件、附件,2018-07-06,25,25,27.72,
1,8807936438,航空器、航天器及其零件相关产品，规格型号07936438,航空器、航天器及其零件,2018-07-06,25,25,38.43,
1,8506772328,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,4.91,
1,8525778723,电气设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,85.07,
1,8732133018,卡车，功率为2492单位,车辆及其零件、附件,2018-07-06,25,25,46.97,
1,8745336859,乘用车，功率为3612单位,车辆及其零件、附件,2018-07-06,25,25,91.45,
1,9067613627,光学、照相、医疗等设备及零件相关产品，规格型号67613627,光学、照相、医疗等设备及零件,2018-07-06,25,25,68.83,
1,8879412698,航空器、航天器及其零件相关产品，规格型号79412698,航空器、航天器及其零件,2018-07-06,25,25,48.74,
1,8484743627,商用用设备，功率不超过417单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,95.83,
1,8465269776,农业用设备，重量不超过37单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,17.42,
1,8865172071,航空器、航天器及其零件相关产品，规格型号65172071,航空器、航天器及其零件,2018-07-06,25,25,75.49,
1,8420019590,工业用机械，重量不超过297单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,54.25,
1,9011026586,光学、照相、医疗等设备及零件相关产品，规格型号11026586,光学、照相、医疗等设备及零件,2018-07-06,25,25,66.4,
1,8527771886,电气设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,55.51,
1,8742649457,摩托车，功率为4568单位,车辆及其零件、附件,2018-07-06,25,25,42.68,
1,8586281973,电子设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,74.24,
1,9096196832,光学、照相、医疗等设备及零件相关产品，规格型号96196832,光学、照相、医疗等设备及零件,2018-07-06,25,25,41.51,
1,8459269872,农业用设备，尺寸不超过950单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,15.76,
1,8533111488,电子设备，用于民用,电机、电气设备及其零件,2018-07-06,25,25,86.11,
1,9045361118,光学、照相、医疗等设备及零件相关产品，规格型号45361118,光学、照相、医疗等设备及零件,2018-07-06,25,25,80.52,
1,8434966309,工业用机械，尺寸不超过853单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,90.0,
1,9042078609,光学、照相、医疗等设备及零件相关产品，规格型号42078609,光学、照相、医疗等设备及零件,2018-07-06,25,25,75.95,
1,8820174237,航空器、航天器及其零件相关产品，规格型号20174237,航空器、航天器及其零件,2018-07-06,25,25,94.39,
1,8477746659,工业用器具，重量不超过669单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,81.05,
1,8827176210,航空器、航天器及其零件相关产品，规格型号27176210,航空器、航天器及其零件,2018-07-06,25,25,69.21,
1,8862858961,航空器、航天器及其零件相关产品，规格型号62858961,航空器、航天器及其零件,2018-07-06,25,25,54.97,
1,9003952145,光学、照相、医疗等设备及零件相关产品，规格型号03952145,光学、照相、医疗等设备及零件,2018-07-06,25,25,2.16,
1,8452616011,工业用器具，功率不超过150单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,21.6,
1,8469733813,商用用设备，功率不超过768单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,31.72,
1,8540564627,电子设备，用于工业,电机、电气设备及其零件,2018-07-06,25,25,64.72,
1,8510773813,电气设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,59.92,
1,8720788704,乘用车，排量为2779单位,车辆及其零件、附件,2018-07-06,25,25,39.39,
1,8772738156,摩托车，排量为1506单位,车辆及其零件、附件,2018-07-06,25,25,27.78,
1,8774840886,摩托车，功率为1403单位,车辆及其零件、附件,2018-07-06,25,25,9.04,
1,8453084665,工业用机械，功率不超过640单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,93.64,
1,8721637341,卡车，排量为4317单位,车辆及其零件、附件,2018-07-06,25,25,39.47,
1,8428571857,农业用设备，尺寸不超过465单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,71.05,
1,8737728551,乘用车，功率为4901单位,车辆及其零件、附件,2018-07-06,25,25,15.84,
1,8703212806,乘用车，排量为2532单位,车辆及其零件、附件,2018-07-06,25,25,75.56,
1,9047505059,光学、照相、医疗等设备及零件相关产品，规格型号47505059,光学、照相、医疗等设备及零件,2018-07-06,25,25,92.38,
1,8490185737,商用用器具，重量不超过108单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,75.1,
1,8522841204,电子设备，用于通信,电机、电气设备及其零件,2018-07-06,25,25,49.33,
1,8415293474,农业用器具，重量不超过953单位,核反应堆、锅炉、机械器具及零件,2018-07-06,25,25,40.82,
