region,region_type,year,gdp_growth,unemployment_rate,investment_growth,consumption_growth,trade_dependency,year_fraction
安徽,中部地区,2025,7.0,2.8,12.0,8.9,0.55,0.25
江西,中部地区,2017,8.3,3.6,7.4,8.3,0.4,1.0
江西,中部地区,2018,8.7,3.7,8.9,8.2,0.4,1.0
江西,中部地区,2019,8.9,3.1,12.1,9.6,0.4,1.0
江西,中部地区,2020,6.5,4.5,6.8,6.4,0.4,1.0
江西,中部地区,2021,7.2,4.0,9.6,7.4,0.4,1.0
江西,中部地区,2022,5.4,3.7,5.4,4.9,0.4,1.0
江西,中部地区,2023,6.5,3.3,7.9,6.9,0.4,1.0
江西,中部地区,2024,6.8,3.3,10.1,9.0,0.4,1.0
江西,中部地区,2025,7.8,2.8,11.0,9.1,0.4,0.25
四川,西部地区,2017,8.6,4.0,7.8,9.2,0.3,1.0
四川,西部地区,2018,7.7,4.3,7.6,7.7,0.3,1.0
四川,西部地区,2019,7.8,4.0,7.7,8.3,0.3,1.0
四川,西部地区,2020,7.5,4.9,8.9,6.5,0.3,1.0
四川,西部地区,2021,6.4,4.3,7.3,6.3,0.3,1.0
四川,西部地区,2022,6.9,3.9,8.3,5.4,0.3,1.0
四川,西部地区,2023,6.9,3.8,8.4,6.0,0.3,1.0
四川,西部地区,2024,7.2,3.7,10.6,8.5,0.3,1.0
四川,西部地区,2025,8.3,3.1,12.0,8.8,0.3,0.25
重庆,西部地区,2017,10.1,4.1,10.2,10.2,0.45,1.0
重庆,西部地区,2018,9.3,3.7,9.2,10.9,0.45,1.0
重庆,西部地区,2019,9.1,4.1,11.1,8.7,0.45,1.0
重庆,西部地区,2020,9.1,4.8,11.0,9.5,0.45,1.0
重庆,西部地区,2021,7.2,4.7,6.5,6.7,0.45,1.0
重庆,西部地区,2022,6.4,3.8,6.0,6.6,0.45,1.0
重庆,西部地区,2023,8.5,3.5,8.5,8.9,0.45,1.0
重庆,西部地区,2024,7.5,3.1,10.8,8.1,0.45,1.0
重庆,西部地区,2025,8.4,3.2,11.6,9.5,0.45,0.25
陕西,西部地区,2017,9.5,3.7,10.7,8.4,0.25,1.0
陕西,西部地区,2018,9.0,4.2,8.1,9.0,0.25,1.0
陕西,西部地区,2019,7.6,4.0,8.5,7.5,0.25,1.0
陕西,西部地区,2020,6.9,4.6,4.8,6.9,0.25,1.0
陕西,西部地区,2021,7.2,4.1,7.5,6.9,0.25,1.0
陕西,西部地区,2022,6.0,3.5,6.2,5.9,0.25,1.0
陕西,西部地区,2023,6.9,3.6,4.8,6.9,0.25,1.0
陕西,西部地区,2024,7.1,3.3,10.4,9.6,0.25,1.0
陕西,西部地区,2025,7.4,3.3,12.6,8.8,0.25,0.25
云南,西部地区,2017,10.7,3.9,12.1,9.8,0.3,1.0
云南,西部地区,2018,9.4,4.1,9.4,8.9,0.3,1.0
云南,西部地区,2019,9.5,3.5,10.7,8.9,0.3,1.0
云南,西部地区,2020,8.5,4.5,9.9,8.5,0.3,1.0
云南,西部地区,2021,7.6,4.4,7.6,7.1,0.3,1.0
云南,西部地区,2022,8.5,3.9,8.4,8.5,0.3,1.0
云南,西部地区,2023,7.3,3.5,8.3,8.8,0.3,1.0
云南,西部地区,2024,9.4,3.8,11.4,11.1,0.3,1.0
云南,西部地区,2025,8.3,3.1,10.4,9.9,0.3,0.25
贵州,西部地区,2017,11.2,4.0,11.6,12.4,0.1,1.0
贵州,西部地区,2018,10.7,4.0,9.9,10.4,0.1,1.0
贵州,西部地区,2019,9.7,3.8,10.7,9.3,0.1,1.0
贵州,西部地区,2020,9.7,5.0,10.1,9.7,0.1,1.0
贵州,西部地区,2021,9.5,4.1,10.8,10.2,0.1,1.0
贵州,西部地区,2022,8.3,3.8,7.1,9.2,0.1,1.0
贵州,西部地区,2023,7.9,3.5,8.5,7.9,0.1,1.0
贵州,西部地区,2024,9.1,3.2,14.0,12.3,0.1,1.0
贵州,西部地区,2025,9.9,2.9,12.1,10.1,0.1,0.25
辽宁,东北地区,2017,3.5,5.5,5.9,3.1,0.6,1.0
辽宁,东北地区,2018,3.3,5.1,3.5,2.9,0.6,1.0
辽宁,东北地区,2019,2.7,5.2,1.7,3.9,0.6,1.0
辽宁,东北地区,2020,2.1,5.9,4.3,3.6,0.6,1.0
辽宁,东北地区,2021,2.5,5.7,5.5,2.4,0.6,1.0
辽宁,东北地区,2022,1.6,5.2,0.0,2.3,0.6,1.0
辽宁,东北地区,2023,2.4,5.2,1.8,2.5,0.6,1.0
辽宁,东北地区,2024,1.9,4.3,4.5,4.1,0.6,1.0
辽宁,东北地区,2025,1.7,4.8,2.7,3.0,0.6,0.25
吉林,东北地区,2017,4.4,4.7,4.9,4.8,0.4,1.0
吉林,东北地区,2018,4.1,4.9,5.7,4.3,0.4,1.0
吉林,东北地区,2019,3.7,4.5,5.8,4.3,0.4,1.0
吉林,东北地区,2020,3.2,5.9,3.6,2.8,0.4,1.0
吉林,东北地区,2021,3.7,5.2,4.1,3.2,0.4,1.0
吉林,东北地区,2022,3.7,4.6,4.4,3.2,0.4,1.0
吉林,东北地区,2023,2.3,4.5,3.6,1.8,0.4,1.0
吉林,东北地区,2024,1.7,4.3,4.9,3.5,0.4,1.0
吉林,东北地区,2025,3.4,3.9,7.6,4.0,0.4,0.25
黑龙江,东北地区,2017,5.3,4.3,7.7,5.7,0.25,1.0
黑龙江,东北地区,2018,5.6,4.3,5.1,5.0,0.25,1.0
黑龙江,东北地区,2019,5.1,4.5,6.4,5.4,0.25,1.0
黑龙江,东北地区,2020,4.9,5.3,6.2,5.9,0.25,1.0
黑龙江,东北地区,2021,5.0,4.7,6.4,5.1,0.25,1.0
黑龙江,东北地区,2022,4.1,4.0,4.3,4.6,0.25,1.0
黑龙江,东北地区,2023,3.7,4.2,5.6,3.6,0.25,1.0
黑龙江,东北地区,2024,4.0,3.6,8.0,6.2,0.25,1.0
黑龙江,东北地区,2025,4.0,3.5,7.5,5.0,0.25,0.25
北京,京津冀,2017,6.7,1.9,9.2,6.2,0.5,1.0
北京,京津冀,2018,6.4,1.7,7.4,6.5,0.5,1.0
北京,京津冀,2019,5.4,1.7,6.7,5.5,0.5,1.0
北京,京津冀,2020,4.5,3.3,5.0,4.7,0.5,1.0
北京,京津冀,2021,5.1,2.4,5.7,5.5,0.5,1.0
北京,京津冀,2022,4.6,1.9,5.1,4.8,0.5,1.0
北京,京津冀,2023,4.0,1.7,6.2,3.7,0.5,1.0
北京,京津冀,2024,3.9,1.5,7.1,4.6,0.5,1.0
北京,京津冀,2025,4.3,1.5,8.4,4.8,0.5,0.25
天津,京津冀,2017,6.3,3.5,7.6,6.7,0.7,1.0
天津,京津冀,2018,4.0,3.4,4.6,3.4,0.7,1.0
天津,京津冀,2019,4.9,3.7,7.2,5.3,0.7,1.0
天津,京津冀,2020,3.8,4.6,3.0,3.3,0.7,1.0
天津,京津冀,2021,3.5,4.0,4.1,3.6,0.7,1.0
天津,京津冀,2022,3.1,3.6,1.7,3.0,0.7,1.0
天津,京津冀,2023,2.4,3.5,3.1,4.0,0.7,1.0
天津,京津冀,2024,3.0,3.0,6.0,4.4,0.7,1.0
天津,京津冀,2025,3.4,2.9,5.9,3.1,0.7,0.25
河北,京津冀,2017,7.5,3.8,8.8,6.8,0.5,1.0
河北,京津冀,2018,5.9,3.7,6.3,6.3,0.5,1.0
河北,京津冀,2019,6.2,3.7,7.6,6.2,0.5,1.0
河北,京津冀,2020,4.5,5.0,5.2,4.9,0.5,1.0
河北,京津冀,2021,5.6,4.0,5.1,5.0,0.5,1.0
河北,京津冀,2022,4.1,3.5,3.9,3.1,0.5,1.0
河北,京津冀,2023,4.5,3.8,6.6,4.4,0.5,1.0
河北,京津冀,2024,3.8,2.9,7.7,5.6,0.5,1.0
河北,京津冀,2025,3.0,3.1,7.1,2.3,0.5,0.25
